SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING,Security ID,LTP
ANUP,The Anup Engineering Limited,EQ,01-Mar-19,9014,2218.4
ANURAS,Anupam Rasayan India Limited,EQ,24-Mar-21,23687,0
APARINDS,Apar Industries Limited,EQ,12-Jul-04,11491,8783.5
APCL,Anjani Portland Cement Limited,EQ,10-Apr-17,20453,118.67
APCOTEXIND,Apcotex Industries Limited,EQ,06-Sep-95,154,378.45
APEX,Apex Frozen Foods Limited,EQ,04-Sep-17,21623,261.85
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-11,25780,1740.8
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-11,25328,886.85
APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-18,1134,240.2
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-96,157,7091
APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-19,14361,284.5
APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-95,163,524.6
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-Jan-15,6302,1209.1
APTECHT,Aptech Limited,EQ,27-Sep-02,10755,100.62
APTUS,Aptus Value Housing Finance India Limited,EQ,24-Aug-21,5435,288.8
ARCHIDPLY,Archidply Industries Limited,EQ,04-Jul-08,16795,89.97
ARCHIES,Archies Limited,EQ,02-Sep-98,5688,18.58
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-Sep-03,100,938
ARENTERP,Rajdarshan Industries Limited,EQ,18-Oct-95,181,46.61
ARIES,Aries Agro Limited,EQ,11-Jan-08,15204,325
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-Jun-21,3813,94.23
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-Mar-17,20159,318.2
ARISINFRA,Arisinfra Solutions Limited,EQ,25-Jun-25,757614,126.56
ARKADE,Arkade Developers Limited,EQ,24-Sep-24,25398,155.67
ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-16,17263,1450
AROGRANITE,Aro Granite Industries Limited,EQ,24-Apr-07,14557,30.47
ARROWGREEN,Arrow Greentech Limited,EQ,21-May-15,9260,519.7
